Date,WeekDay,Weekend,Holiday
2016-01-18,Monday,No,No
2016-01-19,Tuesday,No,No
2016-01-20,Wednesday,No,No
2016-01-21,Thursday,No,No
2016-01-22,Friday,No,No
2016-01-25,Monday,No,No
2016-01-27,Wednesday,No,No
2016-01-28,Thursday,No,No
2016-01-29,Friday,No,No
2016-02-01,Monday,No,No
2016-02-02,Tuesday,No,No
2016-02-03,Wednesday,No,No
2016-02-04,Thursday,No,No
2016-02-05,Friday,No,No
2016-02-08,Monday,No,No
2016-02-09,Tuesday,No,No
2016-02-10,Wednesday,No,No
2016-02-11,Thursday,No,No
2016-02-12,Friday,No,No
2016-02-15,Monday,No,No
2016-02-16,Tuesday,No,No
2016-02-17,Wednesday,No,No
2016-02-18,Thursday,No,No
2016-02-19,Friday,No,No
2016-02-22,Monday,No,No
2016-02-23,Tuesday,No,No
2016-02-24,Wednesday,No,No
2016-02-25,Thursday,No,No
2016-02-26,Friday,No,No
2016-02-29,Monday,No,No
2016-03-01,Tuesday,No,No
2016-03-02,Wednesday,No,No
2016-03-03,Thursday,No,No
2016-03-04,Friday,No,No
2016-03-07,Monday,No,No
2016-03-08,Tuesday,No,No
2016-03-09,Wednesday,No,No
2016-03-10,Thursday,No,No
2016-03-11,Friday,No,No
2016-03-14,Monday,No,No
2016-03-15,Tuesday,No,No
2016-03-16,Wednesday,No,No
2016-03-17,Thursday,No,No
2016-03-18,Friday,No,No
2016-03-21,Monday,No,No
2016-03-22,Tuesday,No,No
2016-03-23,Wednesday,No,No
2016-03-24,Thursday,No,Yes
2016-03-28,Monday,No,No
2016-03-29,Tuesday,No,No
2016-03-30,Wednesday,No,No
2016-03-31,Thursday,No,No
2016-04-01,Friday,No,No
2016-04-04,Monday,No,No
2016-04-05,Tuesday,No,No
2016-04-06,Wednesday,No,No
2016-04-07,Thursday,No,No
2016-04-08,Friday,No,No
2016-04-11,Monday,No,No
2016-04-12,Tuesday,No,No
2016-04-13,Wednesday,No,No
2016-04-14,Thursday,No,No
2016-04-15,Friday,No,No
2016-04-18,Monday,No,No
2016-04-19,Tuesday,No,No
2016-04-20,Wednesday,No,No
2016-04-21,Thursday,No,No
2016-04-22,Friday,No,No
2016-04-25,Monday,No,No
2016-04-26,Tuesday,No,No
2016-04-27,Wednesday,No,No
2016-04-28,Thursday,No,No
2016-04-29,Friday,No,No
2016-05-02,Monday,No,No
2016-05-03,Tuesday,No,No
2016-05-04,Wednesday,No,No
2016-05-05,Thursday,No,No
2016-05-06,Friday,No,No
2016-05-09,Monday,No,No
2016-05-10,Tuesday,No,No
2016-05-11,Wednesday,No,No
2016-05-12,Thursday,No,No
2016-05-13,Friday,No,No
2016-05-16,Monday,No,No
2016-05-17,Tuesday,No,No
2016-05-18,Wednesday,No,No
2016-05-19,Thursday,No,No
2016-05-20,Friday,No,No
2016-05-23,Monday,No,No
2016-05-24,Tuesday,No,No
2016-05-25,Wednesday,No,No
2016-05-26,Thursday,No,No
2016-05-27,Friday,No,No
2016-05-30,Monday,No,No
2016-05-31,Tuesday,No,No
2016-06-01,Wednesday,No,No
2016-06-02,Thursday,No,No
2016-06-03,Friday,No,No
2016-06-06,Monday,No,No
2016-06-07,Tuesday,No,No
2016-06-08,Wednesday,No,No
2016-06-09,Thursday,No,No
2016-06-10,Friday,No,No
2016-06-13,Monday,No,No
2016-06-14,Tuesday,No,No
2016-06-15,Wednesday,No,No
