datetime,humidity,pressure,temperature,wind_direction,wind_speed
2014-09-01 08-00,75.0,1027.0,283.664,237,1
2014-09-01 09-00,56.0,1027.0,283.119,237,1
2014-09-01 10-00,92.0,1028.0,283.8246667,241,1
2014-09-01 11-00,89.0,1028.0,283.5923333,242,1
2014-09-01 12-00,95.0,1029.0,282.82,235,0
2014-09-01 13-00,85.0,1029.0,282.7676667,239,0
2014-09-01 14-00,93.0,1030.0,282.1753333,235,0
2014-09-01 15-00,89.0,1030.0,282.0435,190,0
2014-09-01 16-00,92.0,1031.0,281.2976667,199,0
2014-09-01 17-00,93.0,1030.0,281.0123333,168,0
2014-09-01 18-00,85.0,1031.0,280.367,202,0
2014-09-01 19-00,86.0,1031.0,280.2016667,149,0
2014-09-01 20-00,68.0,1031.0,279.6763333,161,0
2014-09-01 21-00,69.0,1031.0,279.2965,74,0
2014-09-01 22-00,69.0,1032.0,278.7226667,120,0
2014-09-01 23-00,65.0,1032.0,278.2943333,66,0
2014-10-01 00-00,73.0,1032.0,277.5125,96,0
2014-10-01 01-00,81.0,1032.0,277.202,15,0
2014-10-01 02-00,69.0,1033.0,276.538,17,0
2014-10-01 03-00,27.0,1033.0,280.386,19,1
2014-10-01 04-00,27.0,1034.0,278.218,21,1
2014-10-01 05-00,27.0,1032.0,280.562,23,1
2014-10-01 06-00,73.0,1033.0,280.479,157,0
2014-10-01 07-00,90.0,1033.0,283.632,115,1
2014-10-01 08-00,87.0,1033.0,284.358,205,1
2014-10-01 09-00,65.0,1032.0,283.4445,156,0
2014-10-01 10-00,94.0,1032.0,284.717,292,0
2014-10-01 11-00,71.0,1032.0,284.35,289,0
2014-10-01 12-00,74.0,1032.0,281.9135,307,0
2014-10-01 13-00,72.0,1032.0,282.2363333,297,0
2014-10-01 14-00,79.0,1033.0,280.4896667,308,0
2014-10-01 15-00,67.0,1033.0,280.536,159,1
2014-10-01 16-00,85.0,1033.0,278.1916667,223,0
2014-10-01 17-00,75.0,1033.0,277.6403333,127,1
2014-10-01 18-00,50.0,1034.0,277.765,175,1
2014-10-01 19-00,77.0,1034.0,276.9883333,32,1
2014-10-01 20-00,63.0,1033.0,276.8876667,32,1
2014-10-01 21-00,48.0,1033.0,276.654,31,1
2014-10-01 22-00,40.0,1033.0,276.5976667,31,1
2014-10-01 23-00,41.0,1034.0,276.4083333,30,1
2014-11-01 00-00,46.0,1033.0,276.4795,34,1
2014-11-01 01-00,85.0,1033.0,276.2033333,32,1
2014-11-01 02-00,27.0,1034.0,276.1876667,34,1
2014-11-01 03-00,61.0,1034.0,279.9055,44,1
2014-11-01 04-00,63.0,1034.0,278.6453333,44,1
2014-11-01 05-00,71.0,1033.0,281.1186667,52,1
2014-11-01 06-00,70.0,1033.0,281.2705,130,1
2014-11-01 07-00,77.0,1032.0,284.5176667,114,1
2014-11-01 08-00,75.0,1032.0,285.4433333,168,1
2014-11-01 09-00,82.0,1031.0,284.253,138,0
2014-11-01 10-00,73.0,1031.0,285.884,221,1
2014-11-01 11-00,79.0,1031.0,285.399,219,1
2014-11-01 12-00,71.0,1031.0,282.9385,224,1
2014-11-01 13-00,93.0,1031.0,283.112,220,0
2014-11-01 14-00,82.0,1031.0,281.31,223,0
2014-11-01 15-00,72.0,1031.0,281.262,113,1
2014-11-01 16-00,76.0,1032.0,278.8753333,153,0
2014-11-01 17-00,68.0,1031.0,278.2426667,81,1
2014-11-01 18-00,41.0,1032.0,278.587,123,0
2014-11-01 19-00,41.0,1031.0,277.6286667,13,1
2014-11-01 20-00,34.0,1031.0,277.6473333,17,1
2014-11-01 21-00,29.0,1031.0,277.5115,16,1
2014-11-01 22-00,34.0,1031.0,277.5816667,22,0
2014-11-01 23-00,41.0,1031.0,277.4973333,23,0
2014-12-01 00-00,45.0,1031.0,277.1645,27,1
2014-12-01 01-00,61.0,1031.0,277.163,27,1
2014-12-01 02-00,58.0,1031.0,276.913,29,1
2014-12-01 03-00,64.0,1031.0,280.321,35,1
2014-12-01 04-00,92.0,1031.0,278.8516667,37,1
2014-12-01 05-00,67.0,1030.0,281.0403333,42,1
2014-12-01 06-00,70.0,1030.0,281.2665,92,1
2014-12-01 07-00,88.0,1030.0,284.1093333,82,1
2014-12-01 08-00,88.0,1030.0,284.9896667,117,1
2014-12-01 09-00,89.0,1029.0,283.898,102,1
2014-12-01 10-00,57.0,1028.0,285.4356667,154,1
2014-12-01 11-00,73.0,1029.0,285.0013333,156,1
2014-12-01 12-00,92.0,1028.0,283.3535,147,1
2014-12-01 13-00,84.0,1028.0,283.3236667,152,1
2014-12-01 14-00,69.0,1029.0,282.0803333,146,1
2014-12-01 15-00,76.0,1029.0,282.0355,146,0
2014-12-01 16-00,78.0,1029.0,280.3926667,139,0
2014-12-01 17-00,79.0,1029.0,279.9483333,137,0
2014-12-01 18-00,79.0,1030.0,280.5935,115,1
2014-12-01 19-00,76.0,1030.0,279.786,120,0
2014-12-01 20-00,72.0,1030.0,280.068,104,1
2014-12-01 21-00,65.0,1030.0,280.0195,100,1
2014-12-01 22-00,33.0,1030.0,280.4116667,80,1
2014-12-01 23-00,32.0,1030.0,280.4733333,72,1
2014-01-02 00-00,36.0,1040.0,272.935,42,1
2014-01-02 01-00,36.0,1040.0,273.6376667,42,1
2014-01-02 02-00,40.0,1041.0,273.7183333,38,1
2014-01-02 03-00,33.0,1041.0,278.775,35,1
2014-01-02 04-00,32.0,1042.0,277.197,32,1
2014-01-02 05-00,36.0,1040.0,280.595,28,1
2014-01-02 06-00,36.0,1041.0,281.514,19,1
2014-01-02 07-00,39.0,1040.0,285.7383333,18,1
2014-01-02 08-00,42.0,1040.0,287.4836667,11,1
2014-01-02 09-00,47.0,1039.0,286.288,175,0
2014-01-02 10-00,47.0,1039.0,289.0136667,111,1
2014-01-02 11-00,49.0,1039.0,288.7983333,218,0
2014-01-02 12-00,49.0,1039.0,283.661,9,1
2014-01-02 13-00,47.0,1039.0,285.0863333,221,0
2014-01-02 14-00,46.0,1039.0,281.5896667,118,0
2014-01-02 15-00,46.0,1039.0,281.2345,168,0
2014-01-02 16-00,42.0,1040.0,276.6906667,14,0
2014-01-02 17-00,37.0,1039.0,275.2883333,12,0
