Date,OriginCityName,CRSDepTime,DepTime,DepDelay
2014-08-20,Los Angeles,900,859.0,-1.0
2014-08-21,Los Angeles,900,1033.0,93.0
2014-08-22,Los Angeles,900,913.0,13.0
2014-08-23,Los Angeles,900,909.0,9.0
2014-08-24,Los Angeles,900,918.0,18.0
2014-08-25,Los Angeles,900,911.0,11.0
2014-08-26,Los Angeles,900,953.0,53.0
2014-08-27,Los Angeles,900,856.0,-4.0
2014-08-28,Los Angeles,900,858.0,-2.0
2014-08-29,Los Angeles,900,907.0,7.0
2014-08-30,Los Angeles,900,853.0,-7.0
2014-08-31,Los Angeles,900,854.0,-6.0
2014-09-01,Los Angeles,900,853.0,-7.0
2014-09-02,Los Angeles,900,859.0,-1.0
2014-09-03,Los Angeles,900,907.0,7.0
2014-09-04,Los Angeles,900,856.0,-4.0
2014-09-05,Los Angeles,900,853.0,-7.0
2014-09-06,Los Angeles,900,859.0,-1.0
2014-09-07,Los Angeles,900,855.0,-5.0
2014-09-08,Los Angeles,900,857.0,-3.0
2014-09-09,Los Angeles,900,1050.0,110.0
2014-09-10,Los Angeles,900,852.0,-8.0
2014-09-11,Los Angeles,900,854.0,-6.0
2014-09-12,Los Angeles,900,855.0,-5.0
2014-09-13,Los Angeles,900,849.0,-11.0
2014-09-14,Los Angeles,900,859.0,-1.0
2014-09-15,Los Angeles,900,903.0,3.0
2014-09-16,Los Angeles,900,851.0,-9.0
2014-09-17,Los Angeles,900,854.0,-6.0
2014-09-18,Los Angeles,900,855.0,-5.0
2014-09-19,Los Angeles,900,857.0,-3.0
2014-09-20,Los Angeles,900,1028.0,88.0
2014-09-21,Los Angeles,900,855.0,-5.0
2014-09-22,Los Angeles,900,909.0,9.0
2014-09-23,Los Angeles,900,909.0,9.0
2014-09-24,Los Angeles,900,855.0,-5.0
2014-09-25,Los Angeles,900,858.0,-2.0
2014-09-26,Los Angeles,900,912.0,12.0
2014-09-27,Los Angeles,900,854.0,-6.0
2014-09-28,Los Angeles,900,852.0,-8.0
2014-09-29,Los Angeles,900,857.0,-3.0
2014-09-30,Los Angeles,900,858.0,-2.0
2014-10-01,Los Angeles,900,853.0,-7.0
2014-10-02,Los Angeles,900,904.0,4.0
2014-10-03,Los Angeles,900,854.0,-6.0
2014-10-04,Los Angeles,900,1023.0,83.0
2014-10-05,Los Angeles,900,852.0,-8.0
2014-10-06,Los Angeles,900,900.0,0.0
2014-10-07,Los Angeles,900,854.0,-6.0
2014-10-08,Los Angeles,900,854.0,-6.0
2014-10-09,Los Angeles,900,900.0,0.0
2014-10-10,Los Angeles,900,850.0,-10.0
2014-10-11,Los Angeles,900,855.0,-5.0
2014-10-12,Los Angeles,900,854.0,-6.0
2014-10-13,Los Angeles,900,854.0,-6.0
2014-10-14,Los Angeles,900,855.0,-5.0
2014-10-15,Los Angeles,900,854.0,-6.0
2014-10-16,Los Angeles,900,854.0,-6.0
2014-10-17,Los Angeles,900,900.0,0.0
2014-10-18,Los Angeles,900,912.0,12.0
2014-10-19,Los Angeles,900,854.0,-6.0
2014-10-20,Los Angeles,900,855.0,-5.0
2014-10-21,Los Angeles,900,858.0,-2.0
2014-10-22,Los Angeles,900,854.0,-6.0
2014-10-23,Los Angeles,900,853.0,-7.0
2014-10-24,Los Angeles,900,852.0,-8.0
2014-10-25,Los Angeles,900,859.0,-1.0
2014-10-26,Los Angeles,900,848.0,-12.0
2014-10-27,Los Angeles,900,855.0,-5.0
2014-10-28,Los Angeles,900,854.0,-6.0
2014-10-29,Los Angeles,900,850.0,-10.0
2014-10-30,Los Angeles,900,852.0,-8.0
2014-10-31,Los Angeles,900,854.0,-6.0
2014-11-01,Los Angeles,900,854.0,-6.0
2014-11-02,Los Angeles,900,850.0,-10.0
2014-11-03,Los Angeles,900,912.0,12.0
2014-11-04,Los Angeles,900,857.0,-3.0
2014-11-05,Los Angeles,900,856.0,-4.0
2014-11-06,Los Angeles,900,1107.0,127.0
2014-11-07,Los Angeles,900,856.0,-4.0
2014-11-08,Los Angeles,900,857.0,-3.0
2014-11-09,Los Angeles,900,900.0,0.0
2014-11-10,Los Angeles,900,853.0,-7.0
2014-11-11,Los Angeles,900,904.0,4.0
2014-11-12,Los Angeles,900,912.0,12.0
2014-11-13,Los Angeles,900,855.0,-5.0
2014-11-14,Los Angeles,900,853.0,-7.0
2014-11-15,Los Angeles,900,853.0,-7.0
2014-11-16,Los Angeles,900,855.0,-5.0
2014-11-17,Los Angeles,900,850.0,-10.0
2014-11-18,Los Angeles,900,856.0,-4.0
2014-11-19,Los Angeles,900,854.0,-6.0
2014-11-20,Los Angeles,900,854.0,-6.0
