FlightDate,OriginCityName,CRSDepTime,DepTime,DepDelay
22-10-2014,Los Angeles,900,854,-6
23-10-2014,Los Angeles,900,853,-7
24-10-2014,Los Angeles,900,852,-8
25-10-2014,Los Angeles,900,859,-1
26-10-2014,Los Angeles,900,848,-12
27-10-2014,Los Angeles,900,855,-5
28-10-2014,Los Angeles,900,854,-6
29-10-2014,Los Angeles,900,850,-10
30-10-2014,Los Angeles,900,852,-8
31-10-2014,Los Angeles,900,854,-6
01-11-2014,Los Angeles,900,854,-6
02-11-2014,Los Angeles,900,850,-10
03-11-2014,Los Angeles,900,912,12
04-11-2014,Los Angeles,900,857,-3
05-11-2014,Los Angeles,900,856,-4
06-11-2014,Los Angeles,900,1107,127
07-11-2014,Los Angeles,900,856,-4
08-11-2014,Los Angeles,900,857,-3
09-11-2014,Los Angeles,900,900,0
10-11-2014,Los Angeles,900,853,-7
11-11-2014,Los Angeles,900,904,4
12-11-2014,Los Angeles,900,912,12
13-11-2014,Los Angeles,900,855,-5
14-11-2014,Los Angeles,900,853,-7
15-11-2014,Los Angeles,900,853,-7
16-11-2014,Los Angeles,900,855,-5
17-11-2014,Los Angeles,900,850,-10
18-11-2014,Los Angeles,900,856,-4
19-11-2014,Los Angeles,900,854,-6
20-11-2014,Los Angeles,900,854,-6
21-11-2014,Los Angeles,900,856,-4
22-11-2014,Los Angeles,900,931,31
23-11-2014,Los Angeles,900,852,-8
24-11-2014,Los Angeles,900,849,-11
25-11-2014,Los Angeles,900,857,-3
26-11-2014,Los Angeles,900,855,-5
27-11-2014,Los Angeles,900,854,-6
28-11-2014,Los Angeles,900,851,-9
29-11-2014,Los Angeles,900,852,-8
30-11-2014,Los Angeles,900,855,-5
01-12-2014,Los Angeles,900,855,-5
02-12-2014,Los Angeles,900,927,27
03-12-2014,Los Angeles,900,854,-6
04-12-2014,Los Angeles,900,856,-4
05-12-2014,Los Angeles,900,850,-10
06-12-2014,Los Angeles,900,853,-7
07-12-2014,Los Angeles,900,851,-9
08-12-2014,Los Angeles,900,900,0
09-12-2014,Los Angeles,900,924,24
10-12-2014,Los Angeles,900,856,-4
11-12-2014,Los Angeles,900,1534,394
12-12-2014,Los Angeles,900,854,-6
13-12-2014,Los Angeles,900,854,-6
14-12-2014,Los Angeles,900,856,-4
15-12-2014,Los Angeles,900,911,11
16-12-2014,Los Angeles,900,855,-5
17-12-2014,Los Angeles,900,855,-5
18-12-2014,Los Angeles,900,854,-6
19-12-2014,Los Angeles,900,900,0
20-12-2014,Los Angeles,900,855,-5
21-12-2014,Los Angeles,900,858,-2
22-12-2014,Los Angeles,900,924,24
23-12-2014,Los Angeles,900,856,-4
26-12-2014,Los Angeles,900,918,18
27-12-2014,Los Angeles,900,1145,165
28-12-2014,Los Angeles,900,913,13
29-12-2014,Los Angeles,900,906,6
30-12-2014,Los Angeles,900,901,1
01-01-2015,Los Angeles,900,856,-4
02-01-2015,Los Angeles,900,854,-6
03-01-2015,Los Angeles,900,922,22
04-01-2015,Los Angeles,900,1141,161
05-01-2015,Los Angeles,900,852,-8
06-01-2015,Los Angeles,900,858,-2
07-01-2015,Los Angeles,900,850,-10
08-01-2015,Los Angeles,900,853,-7
09-01-2015,Los Angeles,900,852,-8
10-01-2015,Los Angeles,900,858,-2
11-01-2015,Los Angeles,900,853,-7
12-01-2015,Los Angeles,900,900,0
13-01-2015,Los Angeles,900,857,-3
14-01-2015,Los Angeles,900,854,-6
15-01-2015,Los Angeles,900,857,-3
16-01-2015,Los Angeles,900,853,-7
17-01-2015,Los Angeles,900,854,-6
18-01-2015,Los Angeles,900,856,-4
19-01-2015,Los Angeles,900,856,-4
20-01-2015,Los Angeles,900,857,-3
21-01-2015,Los Angeles,900,852,-8
22-01-2015,Los Angeles,900,855,-5
23-01-2015,Los Angeles,900,852,-8
24-01-2015,Los Angeles,900,851,-9
25-01-2015,Los Angeles,900,856,-4
26-01-2015,Los Angeles,900,,
27-01-2015,Los Angeles,900,,
28-01-2015,Los Angeles,900,940,40
29-01-2015,Los Angeles,900,854,-6
30-01-2015,Los Angeles,900,853,-7
31-01-2015,Los Angeles,900,854,-6
01-02-2015,Los Angeles,900,857,-3
02-02-2015,Los Angeles,900,858,-2
03-02-2015,Los Angeles,900,858,-2
04-02-2015,Los Angeles,900,855,-5
05-02-2015,Los Angeles,900,903,3
06-02-2015,Los Angeles,900,853,-7
07-02-2015,Los Angeles,900,858,-2
08-02-2015,Los Angeles,900,857,-3
09-02-2015,Los Angeles,900,,
10-02-2015,Los Angeles,900,900,0
11-02-2015,Los Angeles,900,856,-4
12-02-2015,Los Angeles,900,901,1
13-02-2015,Los Angeles,900,902,2
14-02-2015,Los Angeles,900,920,20
15-02-2015,Los Angeles,900,857,-3
16-02-2015,Los Angeles,900,858,-2
17-02-2015,Los Angeles,900,853,-7
18-02-2015,Los Angeles,900,857,-3
19-02-2015,Los Angeles,900,854,-6
20-02-2015,Los Angeles,900,855,-5
21-02-2015,Los Angeles,900,855,-5
22-02-2015,Los Angeles,900,855,-5
23-02-2015,Los Angeles,900,956,56
24-02-2015,Los Angeles,900,851,-9
25-02-2015,Los Angeles,900,1445,345
26-02-2015,Los Angeles,900,852,-8
27-02-2015,Los Angeles,900,855,-5
28-02-2015,Los Angeles,900,859,-1
01-03-2015,Los Angeles,900,857,-3
02-03-2015,Los Angeles,900,946,46
03-03-2015,Los Angeles,900,853,-7
04-03-2015,Los Angeles,900,912,12
05-03-2015,Los Angeles,900,957,57
06-03-2015,Los Angeles,900,945,45
07-03-2015,Los Angeles,900,851,-9
08-03-2015,Los Angeles,900,924,24
09-03-2015,Los Angeles,900,853,-7
10-03-2015,Los Angeles,900,857,-3
11-03-2015,Los Angeles,900,851,-9
12-03-2015,Los Angeles,900,854,-6
13-03-2015,Los Angeles,900,916,16
14-03-2015,Los Angeles,900,856,-4
15-03-2015,Los Angeles,900,1017,77
